time,state_mean_1,state_mean_2,state_variance_1,state_variance_2
93.0,-882.479128733755,-13.540567886784533,4.72180770843431,4.72180770843431
94.0,-896.6153137616697,-13.77834124266329,4.72180770843431,4.72180770843431
95.0,-907.9655731778572,-12.809038775756486,4.72180770843431,4.72180770843431
96.0,-920.1348262491274,-12.553633107426776,4.72180770843431,4.72180770843431
97.0,-934.255228304215,-13.17909514477707,4.72180770843431,4.72180770843431
98.0,-947.5074440869826,-13.20828527091414,4.72180770843431,4.72180770843431
99.0,-962.7333854938179,-14.01374373964981,4.72180770843431,4.72180770843431
100.0,-976.5943833062922,-13.952766797931151,4.72180770843431,4.72180770843431
101.0,-988.9854255851658,-13.329318521828917,4.72180770843431,4.72180770843431
102.0,-1001.4661255768326,-12.990545740047148,4.72180770843431,4.72180770843431
103.0,-1017.5466102720943,-14.224064898760247,4.72180770843431,4.72180770843431
104.0,-1030.9636212575372,-13.901884920896501,4.72180770843431,4.72180770843431
105.0,-1044.2468117135718,-13.65489898141414,4.72180770843431,4.72180770843431
106.0,-1054.8768008690765,-12.447339777908828,4.72180770843431,4.72180770843431
107.0,-1067.6522371539024,-12.578317552245112,4.72180770843431,4.72180770843431
108.0,-1081.3637406155267,-13.030691061839507,4.72180770843431,4.72180770843431
109.0,-1093.1081037630547,-12.51718249429551,4.72180770843431,4.72180770843431
110.0,-1107.6610987461922,-13.329889070357872,4.72180770843431,4.72180770843431
111.0,-1118.6633912982197,-12.400700843428933,4.72180770843431,4.72180770843431
112.0,-1132.9591425430615,-13.157214486821427,4.72180770843431,4.72180770843431
113.0,-1143.9838274883514,-12.305897977295684,4.72180770843431,4.72180770843431
114.0,-1156.4344222456803,-12.363661659025983,4.72180770843431,4.72180770843431
115.0,-1168.9332756671035,-12.417630889950683,4.72180770843431,4.72180770843431
116.0,-1179.9740711199101,-11.86799126446671,4.72180770843431,4.72180770843431
117.0,-1190.7944594521075,-11.449782909412445,4.72180770843431,4.72180770843431
118.0,-1203.7742982153072,-12.060588895194945,4.72180770843431,4.72180770843431
119.0,-1215.3759513465634,-11.877379431952383,4.72180770843431,4.72180770843431
120.0,-1225.8636128977212,-11.322597070225253,4.72180770843431,4.72180770843431
121.0,-1233.2708228668976,-9.759554863591534,4.72180770843431,4.72180770843431
122.0,-1243.7360510050391,-10.041263180993772,4.72180770843431,4.72180770843431
123.0,-1253.8121952291112,-10.055187868677468,4.72180770843431,4.72180770843431
124.0,-1260.454957132736,-8.692930275051205,4.72180770843431,4.72180770843431
125.0,-1268.7690956031392,-8.541714683102976,4.72180770843431,4.72180770843431
126.0,-1280.733833743526,-9.908202848883148,4.72180770843431,4.72180770843431
127.0,-1292.534966312334,-10.663869905568669,4.72180770843431,4.72180770843431
128.0,-1304.7602289661359,-11.287185737090493,4.72180770843431,4.72180770843431
129.0,-1313.9891484290133,-10.465515497071543,4.72180770843431,4.72180770843431
130.0,-1324.764383825342,-10.589157237282562,4.72180770843431,4.72180770843431
131.0,-1336.4977163169654,-11.045917748610167,4.72180770843431,4.72180770843431
132.0,-1343.8861052516443,-9.585813866002457,4.72180770843431,4.72180770843431
133.0,-1355.7392881800342,-10.49095898985955,4.72180770843431,4.72180770843431
134.0,-1367.9612852498822,-11.181998090332472,4.72180770843431,4.72180770843431
135.0,-1377.561710587317,-10.550626299538552,4.72180770843431,4.72180770843431
136.0,-1391.2672321614523,-11.810076347372322,4.72180770843431,4.72180770843431
137.0,-1405.6608197380822,-12.841427012945022,4.72180770843431,4.72180770843431
138.0,-1420.7995954784565,-13.758540169742698,4.72180770843431,4.72180770843431
139.0,-1434.9655527122986,-13.921183109113796,4.72180770843431,4.72180770843431
140.0,-1451.9713043382037,-15.152558361820436,4.72180770843431,4.72180770843431
141.0,-1468.5786123072503,-15.7333017155412,4.72180770843431,4.72180770843431
142.0,-1482.2337011352338,-14.903668687237914,4.72180770843431,4.72180770843431
143.0,-1497.2276271226092,-14.939699855020471,4.72180770843431,4.72180770843431
144.0,-1513.5754288792623,-15.50182121025076,4.72180770843431,4.72180770843431
145.0,-1527.1574958802166,-14.735445682607775,4.72180770843431,4.72180770843431
146.0,-1541.753806863807,-14.679902411569934,4.72180770843431,4.72180770843431
147.0,-1557.9518775809076,-15.285962828350256,4.72180770843431,4.72180770843431
148.0,-1575.2793497932912,-16.100943633601453,4.72180770843431,4.72180770843431
149.0,-1591.4164051239254,-16.1153596045281,4.72180770843431,4.72180770843431
150.0,-1607.9643443759844,-16.28804757365389,4.72180770843431,4.72180770843431
151.0,-1624.4063330845972,-16.349501648325965,4.72180770843431,4.72180770843431
152.0,-1640.3711646222596,-16.195939407076125,4.72180770843431,4.72180770843431
