time,sampled_mean
261.0,-17.758150195752243
262.0,-17.625721890061048
263.0,-16.940740945525164
264.0,-18.450369992570007
265.0,-19.284640419309355
266.0,-18.12664337874231
267.0,-21.646496373612997
268.0,-23.577094913242053
269.0,-25.46493826482132
270.0,-27.34924673895539
271.0,-28.81074073193687
272.0,-29.692187915633482
273.0,-29.693107040854414
274.0,-29.159644495473668
275.0,-33.00350446942315
276.0,-30.873289259320657
277.0,-33.01859461778786
278.0,-32.06470633899789
279.0,-27.25438640935681
280.0,-29.207596108586635
281.0,-33.703439983259315
282.0,-34.237275536644376
283.0,-32.96464143182969
284.0,-33.591655842956385
285.0,-32.847470306433934
286.0,-32.56630217470887
287.0,-32.87544014390727
288.0,-33.711739977007504
289.0,-33.59644407703698
290.0,-35.84033202486831
291.0,-35.33040056669146
292.0,-35.389149522714476
293.0,-32.83925851731334
294.0,-29.237479172607
295.0,-28.987382457705333
296.0,-29.15807525025962
297.0,-26.703762234246827
298.0,-27.12150942173664
299.0,-28.2912098984988
300.0,-25.797290522748202
