phi,mu,sigma
0.8973146065992497,0.0,0.2776669372977402
0.8454255526766585,0.0,0.26671579107017457
0.8332136295554753,0.0,0.266333057059326
0.7962509097622936,0.0,0.23742844329602525
0.8019547357607202,0.0,0.25707653337405956
0.825004708494134,0.0,0.29069268718491065
0.825004708494134,0.0,0.3020133143316532
0.825004708494134,0.0,0.30185352025661455
0.7775356219136418,0.0,0.2918636287704408
0.7466576877561676,0.0,0.3132569462736516
0.7466576877561676,0.0,0.2944912889348393
0.6990168237509673,0.0,0.3267747948057124
0.6990168237509673,0.0,0.3307243936816225
0.6990168237509673,0.0,0.30719013415664037
0.6990168237509673,0.0,0.2667326581947337
0.7189452631912608,0.0,0.26092367362889995
0.7451499131620014,0.0,0.28994090483980384
0.7774866184404062,0.0,0.3255015093468881
0.764846887041785,0.0,0.3292215660268893
0.7305915776399137,0.0,0.30114131554594986
0.7829265988329092,0.0,0.3029114161016126
0.8379297076789892,0.0,0.27900910855408867
0.8342938472171781,0.0,0.2818727320346112
0.7910098210711061,0.0,0.2722277489173615
0.7956485253615968,0.0,0.2810019968172122
0.7956485253615968,0.0,0.2834965650507644
0.8152721181125547,0.0,0.2945647613171633
0.8462506278556113,0.0,0.2721050750723034
0.8644537942148148,0.0,0.27820633200364087
0.8644537942148148,0.0,0.2736389818901011
0.8644537942148148,0.0,0.25998492474755486
0.8544652455542135,0.0,0.25452637378165144
0.8498850363752442,0.0,0.25977753002601545
0.8775212697470947,0.0,0.25784161849800113
0.8775212697470947,0.0,0.25300201848320786
0.8783860650296472,0.0,0.241292952476551
0.8783860650296472,0.0,0.24054302635534577
0.8668265524058024,0.0,0.2441160045311385
0.8287069511283813,0.0,0.22353639916185147
0.8465684618473697,0.0,0.2241018977358179
0.8764913733411782,0.0,0.2247918371589872
0.8934089183536296,0.0,0.22074036477082212
0.8905166360842952,0.0,0.21328703096465454
0.9021356336249509,0.0,0.22729980311680079
0.9021356336249509,0.0,0.2645678317569184
0.9021356336249509,0.0,0.24290353281873336
0.9021356336249509,0.0,0.2701127672148275
0.8742786413919102,0.0,0.2648984554403511
0.8742786413919102,0.0,0.26140364140836625
0.8742786413919102,0.0,0.24972758476429313
0.8968822503160302,0.0,0.2581611340973964
0.8968822503160302,0.0,0.2807357358659307
0.9016001346880167,0.0,0.27618150885910914
0.8490393272568854,0.0,0.27310965948389976
0.8490393272568854,0.0,0.29285157057916167
0.8253305008030262,0.0,0.29342598064198283
0.8253305008030262,0.0,0.30076205759292796
0.8253305008030262,0.0,0.3318524238851329
0.8331163986603459,0.0,0.30559343433336317
0.8349662293695079,0.0,0.2902883217028585
0.8349662293695079,0.0,0.2838914310466669
0.8316798046415768,0.0,0.2712029700555981
0.8064731137259289,0.0,0.27238968113842116
0.8064731137259289,0.0,0.25843753938398506
0.8364232682274257,0.0,0.273047632137539
0.8364232682274257,0.0,0.2862874502502486
0.8364232682274257,0.0,0.28273094590661657
0.8364232682274257,0.0,0.27954900814149936
0.8364232682274257,0.0,0.2624608500934881
0.8667358995490372,0.0,0.2853522576821898
0.7970572671562899,0.0,0.27610539586708305
0.7978724114093206,0.0,0.26394685643146754
0.786548953197184,0.0,0.25852226365189546
0.7535997296080306,0.0,0.26908425915621725
0.7597672508037661,0.0,0.280600054781815
0.7404480798681224,0.0,0.2908026211890702
0.7370903105017061,0.0,0.29480135576995525
0.7077797203891162,0.0,0.2861891833871854
0.7077797203891162,0.0,0.2889173723585811
0.7251560320665231,0.0,0.31949712517620577
0.7279693311895868,0.0,0.32391815965780235
0.725693044876729,0.0,0.30757857558402246
0.725693044876729,0.0,0.3299717712569553
0.7736142975232372,0.0,0.31360774346684883
0.7663794814588549,0.0,0.3215361305727678
0.7919428305674158,0.0,0.34282273278810893
0.8010641007641428,0.0,0.3283052841534637
0.8195353951502474,0.0,0.30922264558044465
0.7953296869509661,0.0,0.2766043543494123
0.8043934955961735,0.0,0.26047988890475315
0.7352440004274371,0.0,0.2761174661351763
0.7352440004274371,0.0,0.2574359430074191
0.7352440004274371,0.0,0.2711407024813756
0.6934078001426549,0.0,0.2868028495311656
0.6934078001426549,0.0,0.3080321561999548
