nu,scale,W
3.0,3.789365315466715,0.09823008874934046
3.0,3.793275027588668,0.09820412245343509
3.0,3.447523278545603,0.10599320248060468
3.0,3.907685258551096,0.10859233461097607
3.0,3.678299151741162,0.09844692819490003
3.0,3.7696388719255607,0.09680157261549953
3.0,3.733519459844551,0.10832424874155809
3.0,3.717442341794317,0.09416162631593031
3.0,3.658706227171729,0.09806756710985529
3.0,3.7922387805978657,0.0916826445354645
3.0,3.791245507065613,0.10513862773366608
3.0,3.5188375798424887,0.10987260546093733
3.0,3.859467285011949,0.08977342673922864
3.0,3.6064411040594297,0.10711368165501094
3.0,3.846817994386477,0.09777128023827014
3.0,3.8866468542773402,0.09739205471856455
3.0,3.880517775734681,0.0977798358033259
3.0,3.8886553061898046,0.11124904460444145
3.0,3.610433626810977,0.10652787525248657
3.0,3.626952690991217,0.10166464186983232
3.0,3.8783982318888834,0.09987873670782504
3.0,3.528892539451678,0.09911596352977144
3.0,3.659239824896809,0.09103139612622686
3.0,3.6619674784083167,0.09391274035767348
3.0,3.554893602602058,0.10148029723136542
3.0,3.5010133657748463,0.1130087115487952
3.0,3.9590395584115807,0.09915048979324773
3.0,3.7126359401911473,0.10239988834835542
3.0,3.598361738340336,0.10789111847385377
3.0,3.9370485550346315,0.09447667761517875
3.0,3.683916342238888,0.10756870318857034
3.0,3.907168305984951,0.10430300148200014
3.0,3.5108181393860014,0.09693068131333417
3.0,3.5149109071541536,0.11128203932919523
3.0,3.609887092575171,0.1013740484281657
3.0,3.9228419342361023,0.10183734526104862
3.0,3.370161612750695,0.09962952703382512
3.0,3.8726990037536,0.11117756214105225
3.0,3.738981156703162,0.10142673273121543
3.0,3.8808089838191666,0.09901371783439819
3.0,3.4284114824798086,0.09883402673912332
3.0,3.671780322403836,0.0955180740012772
3.0,3.864316756582722,0.08606578762794788
3.0,4.019995092288094,0.11602160235634
3.0,3.658884748800051,0.09317743629545135
3.0,3.8644723965385626,0.09780150808645646
3.0,3.6989580208426327,0.10609030107677973
3.0,3.7423914637003595,0.09170550843450895
3.0,3.8193546747264078,0.10127222218932398
3.0,3.668594204038987,0.09969007245457515
3.0,3.453997385419598,0.10019099065507117
3.0,3.565094060848773,0.09732551066913918
3.0,3.7678377705103925,0.09823907335888928
3.0,3.4732868432333177,0.1053076271664927
3.0,3.907625164027892,0.1085221555337917
3.0,3.9432573356093226,0.10571387935595504
3.0,3.871465159424657,0.10254373091241609
3.0,3.599997413191858,0.09867794659073403
3.0,3.621918720267808,0.09840647195402605
3.0,3.879466923932375,0.09767876305534269
3.0,3.7579088000357954,0.09382755315908542
3.0,3.7314575509819434,0.09409179281780844
3.0,3.8979667144536743,0.09290000122404422
3.0,3.6896753520433596,0.10147223946488437
3.0,3.7349157159544957,0.09765368542309771
3.0,3.6005407178556483,0.10646916788761854
3.0,3.9871938459554923,0.09012895134971667
3.0,3.817322382255459,0.10919388863431193
3.0,3.7951227136771415,0.1096305931742047
3.0,3.6814411102883247,0.10140735936206578
3.0,3.736298360927097,0.10031219893446391
3.0,3.7481161128677267,0.10941832514996817
3.0,3.6133966487899936,0.09742081856036315
3.0,3.685643853227163,0.10499010983667312
3.0,3.837472908833986,0.09700435706801105
3.0,3.7998235510166487,0.0920486737062073
3.0,3.619742072975917,0.08916211656529072
3.0,3.8710486510031306,0.09545219595557383
3.0,3.667227869724932,0.10907430164066369
3.0,3.8383665675053633,0.09935741338300148
3.0,3.7697354683177102,0.09683445663416912
3.0,3.8188731844912986,0.10218452918533569
3.0,3.729739341227906,0.10080495305701877
3.0,3.7530464317106556,0.10378280907995349
3.0,3.778486038418023,0.09702188606213995
3.0,3.7827450466177392,0.09851572297328022
3.0,3.7654481565942497,0.10756280172996714
3.0,3.7706904508899903,0.09839627181709404
3.0,3.8738057343040206,0.10239976502825761
3.0,3.7178348855750696,0.10492814193427531
3.0,3.928874742256973,0.09921661182943549
3.0,3.7709855342601695,0.10272162971499137
3.0,3.6455942640106467,0.10193501890827036
3.0,3.7368359860646057,0.10942624147002715
3.0,4.03760846041016,0.10213997897422714
3.0,3.84805291868525,0.10502859449494915
3.0,3.626795499921324,0.09707657044323165
3.0,3.7899511323097097,0.09815261879969114
3.0,3.695599735454318,0.10266352827739772
