V,W,phi,sigma
2.0,2.2039035171118875,5.145437520346586E-7,8.05458088606008
2.0,2.301169626152439,5.145437520346586E-7,6.77132562538166
2.0,2.5711661975499176,5.145437520346586E-7,6.580719839673066
2.0,2.204677938852214,5.145437520346586E-7,8.197431700214223
2.0,2.353476577584553,3.2681256410672635E-7,6.736387277896851
2.0,2.5110393399538697,3.2681256410672635E-7,7.335028780781277
2.0,2.1057772298073867,3.4268831686564735E-6,6.443953208288173
2.0,3.5012894780653023,3.4268831686564735E-6,6.685882310610495
2.0,2.355680945513996,3.4268831686564735E-6,7.017518758962254
2.0,2.527418374771876,3.4268831686564735E-6,8.015348641138752
2.0,2.4324546287726148,3.4268831686564735E-6,7.221941129410937
2.0,2.457009479813996,3.4268831686564735E-6,6.974180387618063
2.0,3.0371082310349027,3.4268831686564735E-6,8.320120732744227
2.0,2.5636976581811513,3.4268831686564735E-6,5.964224379009172
2.0,2.6385977152113242,3.4268831686564735E-6,6.2410156005082715
2.0,3.1566211773995905,2.0944087131255205E-6,6.939503604298583
2.0,2.774599135130468,2.0944087131255205E-6,6.263138071852817
2.0,2.7404791464031955,2.0944087131255205E-6,6.547743222846777
2.0,2.511397992496554,2.0944087131255205E-6,7.671747602073606
2.0,2.6639226003351375,2.0944087131255205E-6,7.095958035199231
2.0,2.350828474679085,2.0944087131255205E-6,7.93684719153954
2.0,2.594501478557545,2.0944087131255205E-6,6.672129919210736
2.0,2.1363793207281665,2.0944087131255205E-6,7.030189428718583
2.0,2.778038685936346,2.0944087131255205E-6,7.310999430551656
2.0,2.9158428863800006,2.0944087131255205E-6,7.80740479845327
2.0,2.460693229909953,2.0944087131255205E-6,6.621529402626903
2.0,2.4273126815807133,2.0944087131255205E-6,7.390420373052549
2.0,2.093045864668643,2.0944087131255205E-6,6.242914887795997
2.0,3.2796150891861666,2.0944087131255205E-6,6.659563827532559
2.0,2.849394568321182,2.0944087131255205E-6,6.492725812886232
2.0,2.4475248481512906,2.0944087131255205E-6,7.50440080781471
2.0,2.894266809451505,2.0944087131255205E-6,7.182058369388365
2.0,2.407885532191774,2.0944087131255205E-6,6.825506832915132
2.0,2.809629740778889,2.0944087131255205E-6,7.720813679820794
2.0,2.179708588716618,2.0944087131255205E-6,7.265019288171864
2.0,2.697110478602213,2.0944087131255205E-6,6.617067502835621
2.0,2.2035804891611046,2.0944087131255205E-6,6.374596921808271
2.0,2.2481725942063653,2.468408726758406E-6,6.348682158919364
2.0,2.500744600057559,2.468408726758406E-6,5.024735646495633
2.0,2.7339935319149626,2.468408726758406E-6,6.922804900569062
2.0,2.4469957081220652,2.468408726758406E-6,6.647812862345932
2.0,3.004349071227844,2.468408726758406E-6,6.864356399873101
2.0,3.196451543125995,2.468408726758406E-6,7.929264549133554
2.0,2.088160384830632,2.468408726758406E-6,6.047050101368625
2.0,2.3213827830791196,2.468408726758406E-6,7.2696724322316175
2.0,2.3379768590840873,2.468408726758406E-6,6.836217305977939
2.0,2.736011260413216,2.468408726758406E-6,6.28299378478332
2.0,2.529448775109804,2.468408726758406E-6,6.828817241847677
2.0,3.2458545708214666,2.468408726758406E-6,7.038547807601768
2.0,3.027898600805249,2.468408726758406E-6,7.3788015832069505
2.0,2.6671733809372604,2.468408726758406E-6,6.595775945869142
2.0,2.494631771404989,2.468408726758406E-6,6.214739351320156
2.0,2.740524341326328,2.468408726758406E-6,6.16118225034282
2.0,2.3382234052033914,2.468408726758406E-6,6.807907375003385
2.0,2.4987937441939563,2.468408726758406E-6,6.85549930088144
2.0,2.226172373230427,2.468408726758406E-6,6.165008711700284
2.0,2.353662741158647,2.468408726758406E-6,6.911320001911561
2.0,2.4216097332344755,2.468408726758406E-6,6.391419198695991
2.0,2.770232420092367,2.468408726758406E-6,7.283932781768485
2.0,2.281929151538846,2.468408726758406E-6,6.565093634332063
2.0,2.120064139499351,2.468408726758406E-6,6.344695616588075
